Miami,Miami (FL)
NC St.,NC State
South Florida,South Fla.
Connecticut,UConn
St. John's,St. John's (NY)
Northern Iowa,UNI
Southern Illinois,Southern Ill.
San José St.,San Jose St.
USC,Southern California
Brigham Young,BYU
Loyola Marymount,LMU (CA)
Saint Mary's,Saint Mary's (CA)
OLD: Central Arkansas,Central Ark
Central Arkansas,Central Ark.
Eastern Kentucky,Eastern Ky.
Florida Gulf Coast,FGCU
North Alabama,North Ala.
OLD: Albany,Albany (NY)
Albany,UAlbany
Eastern Washington,Eastern Wash.
Northern Arizona,Northern Ariz.
Northern Colorado,Northern Colo.
Charleston Southern,Charleston So.
Gardner–Webb,Gardner-Webb
North Carolina A&T,N.C. A&T
Cal St. Bakersfield,CSU Bakersfield
Cal St. Northridge,CSUN
Florida Atlantic,Fla. Atlantic
Florida International,FIU
Middle Tennessee,Middle Tenn.
Southern Miss,Southern Miss.
Western Kentucky,Western Ky.
College of Charleston,Col. of Charleston
Northern Kentucky,Northern Ky.
Central Michigan,Central Mich.
Eastern Michigan,Eastern Mich.
OLD: Northern Illinois,Northern Ill.
Northern Illinois,NIU
Western Michigan,Western Mich.
Maryland Eastern Shore,UMES
North Carolina Central,N.C. Central
Central Connecticut St.,Central Conn. St.
St. Francis (PA),Saint Francis
Eastern Illinois,Eastern Ill.
Southeast Missouri St.,Southeast Mo. St.
Boston University,Boston U.
Loyola (MD),Loyola Maryland
Alcorn St.,Alcorn
Arkansas–Pine Bluff,Ark.-Pine Bluff
Bethune–Cookman,Bethune-Cookman
Grambling St.,Grambling
Mississippi Valley St.,Mississippi Val.
Prairie View A&M,Prairie View
Southern,Southern U.
Incarnate Word,UIW
McNeese St.,McNeese
Southeastern Louisiana,Southeastern La.
Texas A&M–Corpus Christi,A&M-Corpus Christi
St. Thomas,St. Thomas (MN)
St. Joseph's,Saint Joseph's
Western Illinois,Western Ill.
Appalachian St.,App State
Georgia Southern,Ga. Southern
Louisiana–Monroe,ULM
GCU,Grand Canyon
Lamar,Lamar University
Seattle,Seattle U
Stephen F. Austin,SFA
Texas–Rio Grande Valley,UTRGV
UNCG,UNC Greensboro
Western Carolina,Western Caro.
San Francisco St.,NOT_D1
Virginia St.,NOT_D1
Pitt,Pittsburgh
Fairleigh Dickinson,FDU
Northern Ill.,NIU
Texas A&M–Commerce,Tex. A&M-Commerce
Sam Houston St.,Sam Houston
Southern Indiana,Southern Ind.
UNC,North Carolina
